,0
0,47
1,46
2,51
3,46
4,51
5,59
6,57
7,55
8,44
9,56
10,55
11,55
12,52
13,47
14,40
15,39
16,61
17,48
18,38
19,48
20,48
21,49
22,57
23,51
24,47
25,53
26,57
27,54
28,51
29,50
30,48
31,52
32,53
33,51
34,39
35,53
36,57
37,45
38,55
39,49
40,50
41,41
42,48
43,44
44,47
45,48
46,50
47,47
48,44
49,38
50,48
51,45
52,56
53,58
54,45
55,66
56,50
57,46
58,48
59,35
60,59
61,57
62,51
63,50
64,41
65,64
66,46
67,50
68,53
69,39
70,55
71,30
72,55
73,49
74,58
75,47
76,66
77,46
78,51
79,54
80,53
81,56
82,47
83,55
84,53
85,42
86,44
87,40
88,56
89,50
90,44
91,53
92,65
93,46
94,61
95,42
96,45
97,70
98,62
99,43
